Ingenuus iii; ÖstlicherWetterauLimes;2
Iulius ii; ÖstlicherWetterauLimes;2
L. Cosius Virilis; ÖstlicherWetterauLimes;4
M. Crestio (M- Crestio); ÖstlicherWetterauLimes;1
Maternus ii (Mater-)?; ÖstlicherWetterauLimes;2
Mercator i (Mercatoris)?; ÖstlicherWetterauLimes;1
Mommo; ÖstlicherWetterauLimes;1
Nic- i; ÖstlicherWetterauLimes;1
Secundinus i; ÖstlicherWetterauLimes;1
Secundus ii; ÖstlicherWetterauLimes;1
Severus iii; ÖstlicherWetterauLimes;4
Silvinus ii; ÖstlicherWetterauLimes;1
Silvius i; ÖstlicherWetterauLimes;2
Virilis ii; ÖstlicherWetterauLimes;2
Vitalis ii; ÖstlicherWetterauLimes;5
